serial_no,race,education,income,gender,age
0016816,01,12,000000,2,46
0016816,37,01,,2,08
0016939,67,11,050000,1,45
0017009,47,09,018000,2,63
0017010,47,11,000440,1,20
0017022,47,07,010800,1,44
0017022,47,09,016100,2,41
0017022,47,11,000000,2,24
0017022,47,00,,2,00
0017063,47,09,000000,1,54
0017063,47,09,010000,2,50
0017063,47,11,011800,2,22
0017086,47,09,044000,1,58
0017086,47,09,018000,2,56
0017091,47,11,000000,1,62
0017091,47,09,000000,2,60
0017091,47,09,000000,2,85
0017169,47,09,041100,1,61
0017169,47,09,000000,2,45
0017169,47,11,029100,1,25
0017169,47,08,004200,1,19
0017169,47,05,000000,2,16
0017220,47,07,010000,2,23
0017220,47,01,,1,05
0017220,47,00,,2,01
0017229,47,14,075000,1,44
0017229,47,11,019400,2,42
0017229,47,02,,2,06
0017229,47,00,,2,02
0017290,47,15,040000,1,50
0017290,47,13,000000,2,40
0017290,47,04,000000,1,15
0017290,47,04,,1,14
0017290,47,02,,1,11
0017290,47,02,,2,06
0017290,47,02,,2,04
0017290,47,00,,1,00
0017375,37,01,000000,2,57
0017375,37,13,020300,1,59
0017486,47,09,016000,1,20
0017486,47,09,014000,2,19
0017616,47,11,002100,2,20
0017616,47,11,001200,2,19
0017625,37,16,060000,1,55
0017625,47,14,053000,2,55
0017625,01,09,000000,2,19
0017625,01,07,000000,2,17
0017734,47,10,170000,1,39
0017734,47,13,027000,2,42
0017734,47,07,000000,1,17
0017792,37,04,000000,2,21
0017792,37,02,,2,06
0017825,47,08,000000,2,73
0017825,47,09,009000,1,45
0017869,37,06,000000,2,84
0017944,47,09,000000,1,44
0017944,47,09,011000,2,40
0017944,47,07,005000,1,19
0017944,47,04,,2,13
0017951,47,09,037200,1,39
0017951,47,09,000000,2,38
0017951,47,03,,2,10
0017951,47,02,,2,08
0017981,47,10,050000,1,52
0017981,47,10,030000,2,52
0018056,37,09,000000,1,84
0018125,37,07,002600,1,27
0018132,37,08,001400,1,61
0018152,47,09,000000,2,75
0018152,47,11,040000,1,35
0018152,47,11,000000,1,18
0018223,47,09,020000,1,22
0018223,47,09,020000,2,25
0018288,47,09,000000,1,73
0018288,47,09,014000,2,68
0018398,47,05,031000,1,38
0018398,47,09,000000,2,35
0018398,47,06,000600,2,18
0018398,47,04,000000,1,15
0018398,47,03,,2,12
0018464,47,01,075000,1,18
0018473,47,10,032000,1,26
0018473,47,10,011000,2,22
0018618,47,09,065000,1,48
0018644,47,15,319000,1,57
0018644,47,13,000380,2,57
0018655,47,09,000000,2,79
0018757,47,08,029000,1,27
0018757,47,06,000000,2,23
0018757,47,00,,1,00
0018772,37,09,030000,1,43
0018772,37,10,013000,2,42
0018772,37,09,000000,2,24
0018783,47,04,016000,1,55
0018783,47,09,000000,2,57
0018783,47,10,000190,2,24
0018848,47,13,047600,1,38
0018848,47,08,003300,2,35
0018848,47,03,,2,13
0018848,47,03,,1,11
0018852,47,14,000000,1,43
0019021,47,11,048000,1,39
0019021,47,13,000490,2,40
0019021,47,04,,1,14
0019021,47,03,,1,11
0019021,47,00,,1,00
0019030,47,07,042100,1,53
0019030,47,11,025000,2,52
0019030,47,09,001500,2,24
0019030,47,01,,2,05
0019058,47,11,067000,1,46
0019058,47,09,025000,2,48
0019058,47,11,014000,1,20
0019058,47,10,003000,2,18
0019162,47,09,009500,1,19
0019222,47,03,000000,2,59
0019236,01,11,000000,2,47
0019236,01,09,001400,2,28
0019236,01,09,014300,1,22
0019236,47,00,,1,01
0019236,01,02,,1,09
0019236,01,01,,1,05
0019236,47,01,,2,05
0019236,47,00,,1,01
0019236,01,07,006200,2,29
0019324,47,13,048000,1,57
0019324,47,16,000000,2,57
0019324,47,07,000000,2,17
0019400,47,09,000000,1,70
0019481,47,06,000000,1,57
0019481,47,09,000000,2,51
0019554,47,09,026000,2,34
0019748,47,13,022000,1,27
0019748,47,13,004900,2,27
0020018,47,13,053000,1,32
0020018,47,13,024400,2,32
0020018,47,02,,1,07
0020018,47,02,,2,04
0020032,47,14,065000,1,54
0020071,47,11,000780,2,28
0020071,47,14,000000,1,62
0020071,47,10,000000,2,55
0020114,47,07,000000,1,85
0020114,47,07,000000,2,87
0020120,37,13,045000,1,34
0020120,37,11,018000,2,30
0020120,37,02,,2,11
0020120,37,02,,1,10
0020121,10,13,038000,1,32
0020121,10,11,020000,2,29
0020121,10,00,,1,00
0020121,10,00,,1,00
0020161,47,09,004000,2,36
0020175,47,08,007000,1,22
0020307,47,09,000000,1,64
0020367,37,08,000000,1,86
0020392,47,13,030000,2,48
0020530,47,10,038700,2,38
0020530,47,03,,1,12
0020530,47,02,,1,07
0020555,10,09,035000,1,42
0020555,10,07,031000,2,38
0020555,10,07,000000,1,16
0020555,10,05,000000,2,15
0020555,10,04,,1,13
0020555,10,03,,2,11
0020555,10,02,,2,05
0020555,10,09,030000,1,28
0020602,47,04,029900,1,51
0020602,47,10,000000,2,40
0020602,47,06,000000,1,17
0020602,47,04,,1,13
0020746,01,08,001000,2,32
0020746,47,01,,1,07
0020746,01,00,,1,02
0020746,01,08,000000,1,25
0020807,47,10,000000,1,69
0020807,47,13,014600,2,56
0020933,47,11,015000,1,42
0020933,47,11,032000,2,35
0020933,47,01,,1,05
0020961,37,05,000000,1,36
0020964,47,11,004900,2,34
0020964,47,13,013500,1,40
0020974,47,09,000000,1,64
0021000,47,09,006300,2,43
0021000,47,09,003300,2,47
0021054,37,11,008800,2,20
0021070,47,11,000000,1,62
0021070,47,09,000000,2,64
0021107,47,13,055000,2,25
0021107,47,13,012700,2,24
0021123,47,09,000000,1,67
0021124,47,15,090000,1,49
0021124,01,11,030000,2,39
0021161,47,11,064000,1,55
0021161,47,04,005000,2,58
0021187,37,09,000000,2,45
0021187,37,09,000000,1,45
0021187,37,08,000000,2,17
0021273,37,10,000000,1,80
0021273,37,14,000000,2,65
0021273,37,09,000000,2,47
0021321,47,05,000000,1,88
0021321,47,11,000000,2,79
0021321,47,04,,1,13
0021321,47,03,,2,11
0021410,37,08,020000,1,37
0021410,37,00,,2,02
0021410,37,02,,1,11
0021410,37,02,,1,08
0021410,37,08,020000,2,39
0021418,37,06,000000,2,67
0021418,37,13,000000,2,30
0021444,32,11,020600,2,53
0021444,32,09,010900,1,20
0021444,32,04,000000,1,15
0021530,37,07,000000,2,26
0021530,37,02,,1,08
0021552,47,13,000000,1,81
0021552,47,11,000000,2,71
0021585,47,09,034100,1,31
0021585,47,09,000000,2,26
0021585,47,00,,1,02
0021594,47,09,010500,1,64
0021594,47,09,006200,2,60
0021594,47,11,017900,1,22
0021701,37,11,010600,2,51
0021701,37,09,006500,1,20
0021757,37,11,033800,1,61
0021757,47,11,000000,2,59
0021757,37,11,026000,2,35
0021757,37,00,,2,00
0021784,37,08,015000,1,23
0021791,47,10,002100,1,19
0021840,47,09,000000,1,74
0021840,47,09,000000,2,65
0021867,47,08,000000,1,63
0021867,47,09,000000,2,61
0022015,37,04,000000,2,64
